01389 00832 00258 00004 00000 00069 00000 00431 00095 03903 06212 00000 00220 00133 00000 00000 00129 00000 00031 00000 00039 00001 00000 00000 00000 00000 00251 00000 00078 00014 00000 00136 00339 00001 00253 00617 00373 00002 00278 00473 00440 00749 00162 00103 00000 02245 00150 00000 04362 03757 05078 05174 00166 00000 00082 00148 00000 00000 00230 00001 00239 00000 00717 00397 03840 01008 05294 01085 00534 00939 00000 00000 00081 00000 00000 00080 00040 00000 00000 00190 00000 00020 01990 01886 00880 01235 00431 
00000 00001 00000 00000 00001 00000 00000 00000 00000 00001 00000 00000 00000 00001 00000 00000 00000 00000 00003 00005 00000 00016 00000 00000 00017 00000 00000 00000 00000 00000 00000 00003 00000 00000 00000 00000 00001 00000 00002 00000 00001 00000 00000 00000 00000 00000 00000 00000 00001 00026 00077 00144 00010 00011 00000 00000 00000 00000 00008 00016 00000 00000 00000 00000 00008 00001 00008 00000 00005 00001 00000 00001 00033 00011 00000 00001 00000 00000 00000 00018 00000 00014 00002 00000 00000 00000 00000 
00136 00000 00058 00313 00232 00188 00085 00305 00091 00000 01338 00000 00116 00064 00127 00003 00063 00000 00087 00079 00092 01166 00002 00004 00001 00148 00016 00017 00200 00000 00034 00315 00114 00390 00329 00231 00000 00000 00242 00193 00253 00228 00114 00055 00000 00000 00001 00062 01425 00000 01311 01093 00001 00096 00066 00076 00016 00008 00423 00228 00165 00064 00389 00263 01120 00167 00000 00076 00529 00461 00108 00116 00004 00000 00384 00030 00373 00231 00057 00000 00000 00156 00000 00340 00286 00338 00113 
00002 00005 00001 00000 00000 00000 00000 00003 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00023 00040 00029 00042 00019 00006 00037 00008 00000 00007 00000 00000 00000 00073 00084 00238 00145 00006 00006 00000 00010 00000 00000 00016 00000 00001 00000 00004 00006 00001 00010 00000 00000 00007 00000 00001 00000 00000 00009 00007 00010 00004 00000 00001 00000 00000 00000 00000 00011 00000 00022 00025 00000 00000 00002 00005 00000 00003 00001 00000 00015 00003 00001 00000 04153 04202 01685 00002 00000 
00020 00001 00001 00000 00001 00000 00000 00000 00000 00009 00009 00000 00000 00161 00056 00093 00004 00000 00058 00038 00171 00024 00212 00083 00021 00189 00234 00297 00016 00000 00000 00001 00000 00000 00000 00008 00003 00024 00000 00018 00000 00000 00000 00000 00001 00014 00209 00516 00040 00068 00031 00014 00059 00265 00034 00134 00203 00250 00277 00128 00000 00000 00000 00004 00034 00050 00006 00151 00000 00000 00000 00000 00143 00180 00257 00224 00000 00004 00038 00090 00046 00173 00009 00018 00024 00001 00005 
00000 00014 00011 00105 00076 00117 00082 00133 00047 00131 00413 00069 00005 00012 00019 00000 00000 00000 00024 00010 00038 00216 00000 00000 00014 00000 00130 00000 00005 00000 00014 00232 00179 00242 00241 00089 00007 00068 00073 00000 00000 00108 00000 00018 00000 00298 00036 00000 00000 00000 00187 00000 00038 00052 00014 00058 00000 00000 00005 00009 00022 00001 00000 00045 00000 00001 00000 00000 00241 00235 00015 00080 00117 00000 00000 00000 00011 00064 00014 00001 00000 00000 00328 00322 00181 00119 00044 
00000 00000 00000 00011 00004 00005 00001 00001 00000 00019 00000 00001 00000 00003 00003 00000 00000 00000 00008 00000 00005 00249 00000 00000 00745 00002 00003 00000 00000 00000 00002 00001 00000 00006 00000 00033 00043 00043 00054 00034 00037 00008 00000 00000 00000 00005 00000 00007 00001 00001 00000 00000 00007 00001 00000 00000 00012 00000 00000 00009 00001 00000 00005 00000 00006 00000 00000 00000 00000 00000 00000 00000 00001 00000 00040 00000 00000 00003 00008 00000 00004 00000 00044 00009 00014 00000 00000 
00002 00000 00000 00020 00021 00010 00000 00000 00004 00000 00204 00018 00015 00006 00009 00000 00005 00000 00009 00079 00002 00010 00000 00000 00037 00007 00004 00005 00014 00000 00007 00000 00000 00006 00000 00000 00033 00029 00027 00000 00000 00002 00015 00000 00000 00000 00050 00000 00029 00000 00006 00008 00011 00021 00006 00000 00000 00004 00000 00005 00011 00000 00010 00000 00007 00013 00000 00009 00000 00000 00000 00000 00000 00017 00000 00004 00012 00020 00020 00000 00000 00000 00048 00036 00021 00042 00026 
00000 00001 00002 00000 00032 00000 00000 00298 00001 08131 00015 00627 00255 00081 00000 00001 00076 00001 00149 00665 00219 01578 00000 00000 00000 00104 00000 00000 00006 00000 00003 00163 00000 00000 00000 00000 00090 00000 00099 00000 00000 00028 00003 00028 00000 02301 01865 00044 03602 02728 00000 00524 00000 00063 00000 00469 00000 00021 00274 00442 00002 00011 00221 00000 01043 00203 00000 00084 00075 00041 00007 00000 00000 00008 00697 00072 00637 00424 00072 00681 00000 00182 03612 03514 01013 00736 00000 
00257 00395 00078 00613 00570 00521 00419 00483 00081 01434 00000 00343 00206 00000 00009 00000 00119 00000 00095 00470 00045 00000 00003 00000 00006 00001 00000 00001 00337 00001 00071 00560 00002 00661 00539 00413 00351 00004 00000 00383 00319 00341 00150 00094 00003 00672 00615 00016 00001 00015 00000 00000 00027 00037 00059 00195 00060 00000 00127 00167 00278 00131 00465 00219 00446 00114 00235 00117 00738 00677 00468 00373 00020 00000 00563 00060 00609 00441 00045 00016 00004 00000 00096 00003 00023 00485 00290 
00000 00368 00131 00332 00213 00445 00383 00045 00011 00052 00020 00000 00022 00016 00027 00000 00020 00000 00017 00091 00000 00178 00002 00002 00004 00000 00008 00008 00000 00004 00006 00689 00595 00778 00795 00037 00009 00033 00000 00041 00000 00034 00004 00017 00001 00116 00040 00014 00032 00038 00005 00000 00002 00041 00000 00000 00025 00003 00077 00133 00030 00005 00000 00002 00000 00000 00000 00004 00410 00406 00372 00327 00018 00002 00000 00000 00022 00017 00002 00187 00009 00069 00421 00336 00166 00000 00000 
00004 00004 00000 00000 00000 00000 00000 00002 00000 01291 02244 00000 00048 00000 00024 00000 00043 00000 00000 00953 00261 01957 00031 00001 02212 00052 00000 00010 00071 00000 00013 00000 00000 00000 00001 00004 00000 00000 00012 00000 00022 00058 00000 00031 00000 01352 00536 00088 00432 00000 00487 00504 00092 00107 00122 00208 00029 00002 00491 00584 00000 00017 00164 00084 00325 00000 00310 00012 00258 00032 00043 00000 00004 00000 00631 00035 00000 00256 00037 00876 00027 00222 00003 00347 00074 00000 00000 
00008 00002 00000 00001 00000 00000 00000 00005 00002 00000 00002 00000 00000 00001 00000 00000 00000 00000 00000 00011 00002 00003 00000 00000 00000 00199 01331 00054 00003 00002 00000 00000 00011 00006 00000 00000 00000 00000 00008 00005 00000 00000 00005 00000 00000 00002 00009 00000 00088 00000 00045 00053 00012 00008 00003 00000 00008 00005 00000 00020 00002 00004 00015 00008 00034 00022 00064 00027 00007 00000 00000 00002 00030 00037 00016 00010 00000 00004 00008 00037 00003 00000 00023 00000 00010 00004 00000 
